Time,"Charlotte - Tenth St, Pedestrians","Charlotte - Pecan Ave, Pedestrians","Charlotte - South Tryon Rd, Pedestrians","Charlotte - North Tryon Rd, Pedestrians","Charlotte - Stonewall St, Pedestrians","Charlotte - University City Blvd, Pedestrians","Charlotte - Selwyn Ave, Pedestrians","Charlotte - 4th St Extension, Pedestrians","Charlotte - Elizabeth Ave, Pedestrians","Charlotte - Blue Line Trail, Pedestrians"
23-11-2017 00:00:00,,,,,,156,,98,106,613
24-11-2017 00:00:00,,,,,,199,,50,107,839
25-11-2017 00:00:00,,,,,,175,,113,100,1146
26-11-2017 00:00:00,,,,,,227,,99,,1222
27-11-2017 00:00:00,,,,,,540,,116,,1140
28-11-2017 00:00:00,,,,,,497,,133,,1293
29-11-2017 00:00:00,,,,,,583,,,,1406
30-11-2017 00:00:00,,,,,,546,,,,1348
01-12-2017 00:00:00,,,,,,497,,,,1455
02-12-2017 00:00:00,,,,,,260,,,,1268
03-12-2017 00:00:00,,,,,,225,,,,1647
04-12-2017 00:00:00,,,,,,577,,,,1582
05-12-2017 00:00:00,,,,,,479,,,1022,1252
06-12-2017 00:00:00,,,,,,527,,,656,759
07-12-2017 00:00:00,,,,,,392,,,713,978
08-12-2017 00:00:00,,,,,,313,,,313,282
09-12-2017 00:00:00,,,,,,197,,,,589
10-12-2017 00:00:00,,,,,,227,,,,992
11-12-2017 00:00:00,,,,,,401,,,,959
12-12-2017 00:00:00,,,,,,408,,,,830
13-12-2017 00:00:00,,,,,,396,,,,775
14-12-2017 00:00:00,,,,,,400,,,,1016
15-12-2017 00:00:00,,,,,,268,,,,870
16-12-2017 00:00:00,,,,,,198,,,,1309
17-12-2017 00:00:00,,,,,,146,,,,910
18-12-2017 00:00:00,,,,,,256,,,,1182
19-12-2017 00:00:00,,,,,,219,,,,1378
20-12-2017 00:00:00,,,,,,177,,,,377
21-12-2017 00:00:00,,,,,,226,,,,924
22-12-2017 00:00:00,,,,,,178,,,,904
23-12-2017 00:00:00,,,,,,140,,,,738
24-12-2017 00:00:00,,,,,,131,,,,456
25-12-2017 00:00:00,,,,,,72,,,,230
